Time, Accel X [mg],Accel Y [mg],Accel Z [mg],dRoll [rad/s],dPitch [rad/s],dHeading [rad/s],Roll [rad],Pitch [rad],Yaw [rad],Frequency Reader Frequency [Hz],Calibrated Velocity [m/s],Pressure Sensor Depth [m],State Estimator X [m],State Estimator Y [m],State Estimator Z [m],State Estimator Roll [rad],State Estimator Pitch [rad],State Estimator Yaw [rad],Motor A,Motor B,Motor C,Motor D,Motor E,Servo Angle [rad],Waypoint X [m],Waypoint Y [m],Waypoint Z [m],Waiting [bool]
154332,-2.613,0.755,0.470,1.720,0.282,1.597,0.017,0.003,0.016,0.000,0.000,0.942,0.000,0.000,0.942,0.000,0.000,0.000,0,0,85,0,85,1.275,0.000,0.000,1.000,1.000
154343,-2.621,0.758,0.497,5.158,1.461,5.093,0.069,0.017,0.067,0.000,0.000,0.942,-0.000,0.000,0.942,0.017,0.003,0.016,0,0,85,0,85,1.286,0.000,0.000,1.000,1.000
154354,-2.538,0.891,0.377,0.440,-0.042,0.239,0.073,0.017,0.069,0.000,0.000,0.942,-0.000,0.000,0.942,0.069,0.017,0.067,0,0,85,0,85,1.322,0.000,0.000,1.000,1.000
154365,-2.481,0.667,0.622,0.011,-0.065,-0.017,0.073,0.016,0.069,0.000,0.000,0.942,-0.000,0.000,0.958,0.073,0.017,0.069,0,0,70,0,70,1.324,0.000,0.000,1.000,1.000
154376,-2.773,0.868,0.413,0.023,-0.029,0.026,0.074,0.016,0.069,0.000,0.000,0.942,-0.000,0.000,0.942,0.073,0.016,0.069,0,0,85,0,85,1.324,0.000,0.000,1.000,1.000
154387,-2.577,0.787,0.390,0.027,-0.010,0.037,0.074,0.016,0.070,0.000,0.000,0.942,-0.000,0.000,0.958,0.074,0.016,0.069,0,0,70,0,70,1.324,0.000,0.000,1.000,1.000
154398,-2.344,0.739,0.580,0.029,-0.012,0.045,0.074,0.016,0.070,0.000,0.000,0.958,-0.000,0.000,0.942,0.074,0.016,0.070,0,0,85,0,85,1.324,0.000,0.000,1.000,1.000
154409,-2.700,0.714,0.464,0.035,0.007,0.050,0.074,0.016,0.071,0.000,0.000,0.942,-0.000,0.000,0.958,0.074,0.016,0.070,0,0,70,0,70,1.325,0.000,0.000,1.000,1.000
154420,-2.511,0.753,0.533,0.036,0.006,0.049,0.075,0.016,0.071,0.000,0.000,0.958,-0.000,0.000,0.942,0.074,0.016,0.071,0,0,85,0,85,1.325,0.000,0.000,1.000,1.000
154431,-2.618,0.771,0.438,0.043,0.007,0.049,0.075,0.016,0.072,0.000,0.000,0.958,-0.000,0.000,0.942,0.075,0.016,0.071,0,0,85,0,85,1.325,0.000,0.000,1.000,1.000
154442,-2.633,0.758,0.558,0.041,0.013,0.050,0.076,0.016,0.072,0.000,0.000,0.942,-0.000,0.000,0.942,0.075,0.016,0.072,0,0,85,0,85,1.326,0.000,0.000,1.000,1.000
154453,-2.647,0.802,0.450,0.040,0.021,0.049,0.076,0.016,0.073,0.000,0.000,0.958,-0.000,0.000,0.942,0.076,0.016,0.072,0,0,85,0,85,1.326,0.000,0.000,1.000,1.000
154464,-2.574,0.684,0.521,0.041,0.024,0.048,0.076,0.017,0.073,0.000,0.000,0.942,-0.000,0.000,0.958,0.076,0.016,0.073,0,0,70,0,70,1.326,0.000,0.000,1.000,1.000
154475,-2.648,0.776,0.479,0.046,0.023,0.048,0.077,0.017,0.074,0.000,0.000,0.958,-0.000,0.000,0.942,0.076,0.017,0.073,0,0,85,0,85,1.327,0.000,0.000,1.000,1.000
154486,-2.626,0.703,0.434,0.045,0.035,0.051,0.077,0.017,0.074,0.000,0.000,0.926,-0.000,0.000,0.942,0.077,0.017,0.074,0,0,85,0,85,1.327,0.000,0.000,1.000,1.000
154497,-2.764,0.820,0.458,0.043,0.040,0.042,0.078,0.018,0.075,0.000,0.000,0.942,-0.000,0.000,0.958,0.077,0.017,0.074,0,0,70,0,70,1.327,0.000,0.000,1.000,1.000
154508,-2.526,0.600,0.499,0.047,0.045,0.043,0.078,0.018,0.075,0.000,0.000,0.926,-0.000,0.000,0.942,0.078,0.018,0.075,0,0,85,0,85,1.328,0.000,0.000,1.000,1.000
154519,-2.575,0.710,0.517,0.051,0.044,0.040,0.079,0.018,0.075,0.000,0.000,0.942,-0.000,0.000,0.942,0.078,0.018,0.075,0,0,85,0,85,1.328,0.000,0.000,1.000,1.000
154530,-2.690,0.837,0.509,0.045,0.046,0.038,0.079,0.019,0.076,0.000,0.000,0.942,-0.000,0.000,0.958,0.079,0.018,0.075,0,0,70,0,70,1.328,0.000,0.000,1.000,1.000
154541,-2.586,0.682,0.561,0.041,0.048,0.032,0.080,0.019,0.076,0.000,0.000,0.942,-0.000,0.000,0.942,0.079,0.019,0.076,0,0,85,0,85,1.329,0.000,0.000,1.000,1.000
154552,-2.541,0.637,0.454,0.044,0.056,0.035,0.080,0.020,0.076,0.000,0.000,0.942,-0.000,0.000,0.958,0.080,0.019,0.076,0,0,70,0,70,1.329,0.000,0.000,1.000,1.000
154563,-2.600,0.772,0.491,0.043,0.051,0.034,0.080,0.020,0.077,0.000,0.000,0.942,-0.000,0.000,0.958,0.080,0.020,0.076,0,0,70,0,70,1.329,0.000,0.000,1.000,1.000
154574,-2.688,0.726,0.521,0.035,0.056,0.028,0.081,0.021,0.077,0.000,0.000,0.958,-0.000,0.000,0.942,0.080,0.020,0.077,0,0,85,0,85,1.329,0.000,0.000,1.000,1.000
154585,-2.629,0.688,0.439,0.032,0.061,0.021,0.081,0.022,0.077,0.000,0.000,0.942,-0.000,0.000,0.974,0.081,0.021,0.077,0,0,56,0,56,1.329,0.000,0.000,1.000,1.000
154596,-2.608,0.710,0.458,0.036,0.060,0.018,0.082,0.022,0.077,0.000,0.000,0.958,-0.000,0.000,0.958,0.081,0.022,0.077,0,0,70,0,70,1.330,0.000,0.000,1.000,1.000
154607,-2.563,0.688,0.553,0.028,0.061,0.018,0.082,0.023,0.078,0.000,0.000,0.942,-0.000,0.000,0.958,0.082,0.022,0.077,0,0,70,0,70,1.330,0.000,0.000,1.000,1.000
154618,-2.533,0.647,0.482,0.029,0.064,0.012,0.082,0.023,0.078,0.000,0.000,0.974,-0.000,0.000,0.942,0.082,0.023,0.078,0,0,85,0,85,1.330,0.000,0.000,1.000,1.000
154629,-2.608,0.685,0.440,0.028,0.062,0.013,0.082,0.024,0.078,0.000,0.000,0.958,-0.000,0.000,0.958,0.082,0.023,0.078,0,0,70,0,70,1.330,0.000,0.000,1.000,1.000
154640,-2.582,0.692,0.510,0.021,0.056,0.012,0.083,0.025,0.078,0.000,0.000,0.958,-0.000,0.000,0.942,0.082,0.024,0.078,0,0,85,0,85,1.330,0.000,0.000,1.000,1.000
