Time, Accel X [mg],Accel Y [mg],Accel Z [mg],dRoll [deg/s],dPitch [deg/s],dHeading [deg/s],Roll [deg],Pitch [deg],Yaw [deg],Frequency Reader Frequency [Hz], Calibrated Velocity [m/s],Pressure Sensor Depth [m],State Estimator X [m],State Estimator Y [m],State Estimator Z [m],State Estimator Roll [rad],State Estimator Pitch [rad],State Estimator Yaw [rad],Motor A, Motor B, Motor C, Motor D, Motor E,Servo Angle [rad],Waypoint X [m], Waypoint Y [m], Waypoint Z [m], Waiting [bool]
184564,-0.714,0.811,-9.793,-0.004,-0.002,0.006,0.000,0.000,0.000,0.003,0.044,0.313,0.001,0.000,0.297,0.000,0.000,0.000,0,0,242,0,242,0.725,0.000,0.000,1.000,0.000
184575,-0.708,0.825,-9.757,-0.003,-0.004,0.007,0.000,0.000,0.000,0.003,0.044,0.345,0.002,0.000,0.329,0.000,0.000,0.000,0,0,242,0,242,0.725,0.000,0.000,1.000,0.000
184586,-0.715,0.849,-9.456,0.001,-0.012,0.007,0.000,-0.000,0.000,0.003,0.044,0.313,0.003,0.000,0.313,0.000,0.000,0.000,0,0,242,0,242,0.725,0.000,0.000,1.000,0.000
184597,-0.613,0.861,-9.311,0.006,-0.020,0.020,0.000,-0.000,0.000,0.003,0.044,0.297,0.004,0.000,0.345,0.000,-0.000,0.000,0,0,242,0,242,0.725,0.000,0.000,1.000,0.000
184608,-0.770,0.932,-9.660,0.002,-0.026,0.031,0.000,-0.001,0.001,0.003,0.044,0.329,0.005,0.000,0.329,0.000,-0.000,0.000,0,0,242,0,242,0.725,0.000,0.000,1.000,0.000
184619,-0.511,0.785,-9.150,-0.008,-0.028,0.038,0.000,-0.001,0.001,0.003,0.044,0.345,0.006,0.000,0.313,0.000,-0.001,0.001,0,0,242,0,242,0.725,0.000,0.000,1.000,0.000
184630,-0.798,0.839,-9.335,-0.001,-0.024,0.048,0.000,-0.001,0.001,0.003,0.044,0.329,0.007,0.000,0.329,0.000,-0.001,0.001,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184641,-0.595,1.060,-9.536,-0.020,-0.022,0.065,-0.000,-0.001,0.002,0.003,0.044,0.329,0.007,0.000,0.313,0.000,-0.001,0.001,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184652,-0.595,0.738,-9.288,-0.025,-0.024,0.078,-0.000,-0.002,0.003,0.003,0.044,0.313,0.008,0.000,0.329,-0.000,-0.001,0.002,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184663,-0.849,0.668,-9.365,-0.026,-0.020,0.088,-0.001,-0.002,0.004,0.003,0.044,0.313,0.009,0.000,0.313,-0.000,-0.002,0.003,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184674,-0.743,0.804,-9.396,-0.019,-0.026,0.082,-0.001,-0.002,0.004,0.003,0.044,0.329,0.010,0.000,0.329,-0.001,-0.002,0.004,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184685,-0.884,0.662,-9.436,-0.015,-0.057,0.064,-0.001,-0.003,0.005,0.003,0.044,0.329,0.011,0.000,0.313,-0.001,-0.002,0.004,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
184696,-0.878,0.492,-9.359,-0.001,-0.076,0.050,-0.001,-0.003,0.006,0.003,0.044,0.313,0.012,0.000,0.313,-0.001,-0.003,0.005,0,0,242,0,242,1.892,0.000,0.000,1.000,0.000
