Time, Accel X [mg],Accel Y [mg],Accel Z [mg],dRoll [rad/s],dPitch [rad/s],dHeading [rad/s],Roll [rad],Pitch [rad],Yaw [rad],Frequency Reader Frequency [Hz],Calibrated Velocity [m/s],Pressure Sensor Depth [m],State Estimator X [m],State Estimator Y [m],State Estimator Z [m],State Estimator Roll [rad],State Estimator Pitch [rad],State Estimator Yaw [rad],Motor A,Motor B,Motor C,Motor D,Motor E,Servo Angle [rad],Waypoint X [m],Waypoint Y [m],Waypoint Z [m],Waiting [bool]
94649,-0.955,0.870,0.187,0.056,-0.064,0.027,0.001,-0.001,0.000,0.000,0.000,0.361,0.000,0.000,0.345,0.000,0.000,0.000,0,0,242,0,242,1.275,0.000,0.000,1.000,1.000
94660,-0.978,0.886,0.263,0.057,-0.061,0.026,0.001,-0.001,0.001,0.000,0.000,0.345,0.000,0.000,0.329,0.001,-0.001,0.000,0,0,242,0,242,1.275,0.000,0.000,1.000,1.000
94671,-0.966,0.860,0.745,0.061,-0.064,0.028,0.002,-0.002,0.001,0.000,0.000,0.345,0.000,0.000,0.345,0.001,-0.001,0.001,0,0,242,0,242,1.275,0.000,0.000,1.000,1.000
94682,-0.799,0.843,0.841,0.065,-0.060,0.031,0.002,-0.002,0.001,0.000,0.000,0.377,0.000,0.000,0.345,0.002,-0.002,0.001,0,0,242,0,242,1.276,0.000,0.000,1.000,1.000
94693,-0.860,0.857,0.628,0.058,-0.076,0.038,0.003,-0.003,0.001,0.000,0.000,0.345,0.000,0.000,0.345,0.002,-0.002,0.001,0,0,242,0,242,1.276,0.000,0.000,1.000,1.000
94704,-1.012,0.873,0.426,0.065,-0.073,0.050,0.004,-0.004,0.002,0.000,0.000,0.345,0.000,0.000,0.361,0.003,-0.003,0.001,0,0,242,0,242,1.276,0.000,0.000,1.000,1.000
94715,-0.836,0.851,0.732,0.073,-0.064,0.057,0.004,-0.005,0.003,0.000,0.000,0.345,0.000,0.000,0.361,0.004,-0.004,0.002,0,0,242,0,242,1.276,0.000,0.000,1.000,1.000
94726,-0.827,0.852,0.559,0.069,-0.060,0.079,0.005,-0.005,0.003,0.000,0.000,0.377,0.000,0.000,0.361,0.004,-0.005,0.003,0,0,242,0,242,1.277,0.000,0.000,1.000,1.000
94737,-0.920,0.820,0.638,0.080,-0.059,0.089,0.006,-0.006,0.004,0.000,0.000,0.329,0.000,0.000,0.361,0.005,-0.005,0.003,0,0,242,0,242,1.277,0.000,0.000,1.000,1.000
94748,-1.211,0.724,0.583,0.078,-0.062,0.092,0.007,-0.006,0.005,0.000,0.000,0.361,0.000,0.000,0.361,0.006,-0.006,0.004,0,0,242,0,242,1.278,0.000,0.000,1.000,1.000
94759,-0.957,0.743,0.548,0.078,-0.059,0.088,0.007,-0.007,0.006,0.000,0.000,0.361,0.000,0.000,0.361,0.007,-0.006,0.005,0,0,242,0,242,1.279,0.000,0.000,1.000,1.000
94770,-0.975,0.864,0.773,0.076,-0.062,0.088,0.008,-0.008,0.007,0.000,0.000,0.361,0.000,0.000,0.361,0.007,-0.007,0.006,0,0,242,0,242,1.279,0.000,0.000,1.000,1.000
94781,-1.151,0.738,0.622,0.068,-0.071,0.094,0.009,-0.008,0.008,0.000,0.000,0.345,0.000,0.000,0.361,0.008,-0.008,0.007,0,0,242,0,242,1.280,0.000,0.000,1.000,1.000
94792,-1.095,0.690,0.542,0.062,-0.077,0.082,0.009,-0.009,0.009,0.000,0.000,0.345,0.000,0.000,0.377,0.009,-0.008,0.008,0,0,242,0,242,1.281,0.000,0.000,1.000,1.000
94803,-1.107,0.788,0.506,0.056,-0.078,0.081,0.010,-0.010,0.009,0.000,0.000,0.361,0.000,0.000,0.345,0.009,-0.009,0.009,0,0,242,0,242,1.281,0.000,0.000,1.000,1.000
94814,-1.118,0.706,0.482,0.047,-0.083,0.083,0.010,-0.011,0.010,0.000,0.000,0.345,0.000,0.000,0.345,0.010,-0.010,0.009,0,0,242,0,242,1.282,0.000,0.000,1.000,1.000
94825,-1.043,0.765,0.383,0.043,-0.077,0.090,0.011,-0.011,0.011,0.000,0.000,0.361,0.000,0.000,0.377,0.010,-0.011,0.010,0,0,242,0,242,1.282,0.000,0.000,1.000,1.000
94836,-1.113,0.746,0.427,0.040,-0.072,0.097,0.011,-0.012,0.012,0.000,0.000,0.361,0.000,0.000,0.345,0.011,-0.011,0.011,0,0,242,0,242,1.283,0.000,0.000,1.000,1.000
94847,-1.102,0.826,0.409,0.040,-0.061,0.103,0.012,-0.013,0.013,0.000,0.000,0.361,0.000,0.000,0.361,0.011,-0.012,0.012,0,0,242,0,242,1.284,0.000,0.000,1.000,1.000
94858,-1.016,0.785,0.438,0.040,-0.060,0.110,0.012,-0.013,0.014,0.000,0.000,0.345,0.000,0.000,0.361,0.012,-0.013,0.013,0,0,242,0,242,1.284,0.000,0.000,1.000,1.000
94869,-1.161,0.825,0.390,0.044,-0.050,0.114,0.013,-0.014,0.015,0.000,0.000,0.377,0.000,0.000,0.361,0.012,-0.013,0.014,0,0,242,0,242,1.285,0.000,0.000,1.000,1.000
94880,-1.071,0.903,0.416,0.049,-0.045,0.120,0.013,-0.014,0.017,0.000,0.000,0.345,0.000,0.000,0.361,0.013,-0.014,0.015,0,0,242,0,242,1.286,0.000,0.000,1.000,1.000
94891,-1.141,0.968,0.377,0.057,-0.044,0.117,0.014,-0.015,0.018,0.000,0.000,0.361,0.000,0.000,0.377,0.013,-0.014,0.017,0,0,242,0,242,1.287,0.000,0.000,1.000,1.000
94902,-1.249,0.873,0.168,0.072,-0.038,0.122,0.014,-0.015,0.019,0.000,0.000,0.458,0.000,0.000,0.345,0.014,-0.015,0.018,0,0,242,0,242,1.288,0.000,0.000,1.000,1.000
94913,-1.418,0.698,-0.009,0.079,-0.023,0.120,0.015,-0.015,0.020,0.000,0.000,0.345,0.000,0.000,0.361,0.014,-0.015,0.019,0,0,242,0,242,1.288,0.000,0.000,1.000,1.000
94924,-1.274,0.789,-0.044,0.077,-0.010,0.120,0.016,-0.015,0.021,0.000,0.000,0.377,0.000,0.000,0.345,0.015,-0.015,0.020,0,0,242,0,242,1.289,0.000,0.000,1.000,1.000
94935,-1.231,0.761,-0.129,0.079,-0.005,0.121,0.017,-0.015,0.023,0.000,0.000,0.345,0.000,0.000,0.361,0.016,-0.015,0.021,0,0,242,0,242,1.290,0.000,0.000,1.000,1.000
94946,-1.342,0.678,-0.532,0.074,0.004,0.134,0.017,-0.015,0.024,0.000,0.000,0.361,0.000,0.000,0.377,0.017,-0.015,0.023,0,0,242,0,242,1.291,0.000,0.000,1.000,1.000
94957,-1.060,0.602,-0.133,0.057,-0.002,0.132,0.018,-0.015,0.025,0.000,0.000,0.361,0.000,0.000,0.361,0.017,-0.015,0.024,0,0,242,0,242,1.292,0.000,0.000,1.000,1.000
94968,-0.919,0.624,0.716,0.057,0.006,0.136,0.019,-0.015,0.027,0.000,0.000,0.377,0.000,0.000,0.345,0.018,-0.015,0.025,0,0,242,0,242,1.293,0.000,0.000,1.000,1.000
94979,-0.576,0.436,0.859,0.044,-0.007,0.155,0.019,-0.015,0.028,0.000,0.000,0.361,0.000,0.000,0.361,0.019,-0.015,0.027,0,0,242,0,242,1.294,0.000,0.000,1.000,1.000
94990,-1.151,0.767,0.337,0.046,-0.018,0.165,0.019,-0.016,0.030,0.000,0.000,0.377,0.000,0.000,0.345,0.019,-0.015,0.028,0,0,242,0,242,1.295,0.000,0.000,1.000,1.000
95001,-1.034,0.660,0.345,0.047,-0.029,0.166,0.020,-0.016,0.032,0.000,0.000,0.377,0.000,0.000,0.377,0.019,-0.016,0.030,0,0,242,0,242,1.296,0.000,0.000,1.000,1.000
95012,-1.009,0.620,0.729,0.046,-0.016,0.159,0.020,-0.016,0.033,0.000,0.000,0.361,0.000,0.000,0.377,0.020,-0.016,0.032,0,0,242,0,242,1.297,0.000,0.000,1.000,1.000
95023,-0.932,0.805,0.726,0.049,-0.021,0.166,0.021,-0.016,0.035,0.000,0.000,0.377,0.000,0.000,0.377,0.020,-0.016,0.033,0,0,242,0,242,1.298,0.000,0.000,1.000,1.000
95034,-1.025,0.733,0.578,0.056,-0.035,0.166,0.021,-0.017,0.036,0.000,0.000,0.377,0.000,0.000,0.377,0.021,-0.016,0.035,0,0,242,0,242,1.300,0.000,0.000,1.000,1.000
95045,-1.190,0.562,0.469,0.051,-0.032,0.165,0.022,-0.017,0.038,0.000,0.000,0.232,0.000,0.000,0.377,0.021,-0.017,0.036,0,0,242,0,242,1.301,0.000,0.000,1.000,1.000
95056,-0.974,0.799,0.542,0.046,-0.029,0.158,0.022,-0.017,0.040,0.000,0.000,0.394,0.000,0.000,0.361,0.022,-0.017,0.038,0,0,242,0,242,1.302,0.000,0.000,1.000,1.000
95067,-0.939,0.752,0.748,0.057,-0.035,0.160,0.023,-0.018,0.041,0.000,0.000,0.377,0.000,0.000,0.377,0.022,-0.017,0.040,0,0,242,0,242,1.303,0.000,0.000,1.000,1.000
95078,-1.080,0.743,0.415,0.052,-0.044,0.158,0.024,-0.018,0.043,0.000,0.000,0.394,0.000,0.000,0.361,0.023,-0.018,0.041,0,0,242,0,242,1.304,0.000,0.000,1.000,1.000
95089,-0.968,0.727,0.503,0.058,-0.044,0.156,0.024,-0.018,0.044,0.000,0.000,0.361,0.000,0.000,0.394,0.024,-0.018,0.043,0,0,242,0,242,1.305,0.000,0.000,1.000,1.000
95100,-1.015,0.654,0.527,0.061,-0.048,0.165,0.025,-0.019,0.046,0.000,0.000,0.361,0.000,0.000,0.377,0.024,-0.018,0.044,0,0,242,0,242,1.306,0.000,0.000,1.000,1.000
95111,-1.138,0.659,0.474,0.060,-0.054,0.158,0.025,-0.019,0.048,0.000,0.000,0.394,0.000,0.000,0.377,0.025,-0.019,0.046,0,0,242,0,242,1.308,0.000,0.000,1.000,1.000
95122,-0.979,0.738,0.434,0.061,-0.046,0.160,0.026,-0.020,0.049,0.000,0.000,0.394,0.000,0.000,0.377,0.025,-0.019,0.048,0,0,242,0,242,1.309,0.000,0.000,1.000,1.000
95133,-0.981,0.679,0.421,0.063,-0.054,0.166,0.027,-0.020,0.051,0.000,0.000,0.377,0.000,0.000,0.361,0.026,-0.020,0.049,0,0,242,0,242,1.310,0.000,0.000,1.000,1.000
95144,-1.114,0.845,0.424,0.063,-0.044,0.166,0.027,-0.021,0.053,0.000,0.000,0.394,0.000,0.000,0.394,0.027,-0.020,0.051,0,0,242,0,242,1.311,0.000,0.000,1.000,1.000
95155,-0.914,1.047,0.415,0.045,-0.033,0.172,0.028,-0.021,0.054,0.000,0.000,0.410,0.000,0.000,0.377,0.027,-0.021,0.053,0,0,242,0,242,1.312,0.000,0.000,1.000,1.000
95166,-1.072,0.850,0.412,0.022,-0.020,0.194,0.028,-0.021,0.056,0.000,0.000,0.377,0.000,0.000,0.410,0.028,-0.021,0.054,0,0,242,0,242,1.313,0.000,0.000,1.000,1.000
95177,-1.021,0.712,0.387,0.021,-0.021,0.194,0.028,-0.022,0.058,0.000,0.000,0.394,0.000,0.000,0.394,0.028,-0.021,0.056,0,0,242,0,242,1.315,0.000,0.000,1.000,1.000
95188,-1.131,0.631,0.395,0.024,-0.022,0.195,0.028,-0.022,0.060,0.000,0.000,0.394,0.000,0.000,0.394,0.028,-0.022,0.058,0,0,242,0,242,1.316,0.000,0.000,1.000,1.000
95199,-1.068,0.620,0.448,0.023,-0.021,0.195,0.029,-0.022,0.062,0.000,0.000,0.410,0.000,0.000,0.394,0.028,-0.022,0.060,0,0,242,0,242,1.317,0.000,0.000,1.000,1.000
95210,-1.068,0.710,0.288,0.021,-0.029,0.188,0.029,-0.022,0.064,0.000,0.000,0.410,0.000,0.000,0.394,0.029,-0.022,0.062,0,0,242,0,242,1.319,0.000,0.000,1.000,1.000
95221,-1.175,0.598,0.223,0.024,-0.028,0.192,0.029,-0.023,0.066,0.000,0.000,0.426,0.000,0.000,0.410,0.029,-0.022,0.064,0,0,242,0,242,1.320,0.000,0.000,1.000,1.000
95232,-1.083,0.647,0.213,0.023,-0.034,0.186,0.029,-0.023,0.068,0.000,0.000,0.410,0.000,0.000,0.426,0.029,-0.023,0.066,0,0,242,0,242,1.322,0.000,0.000,1.000,1.000
95243,-1.115,0.687,0.237,0.025,-0.035,0.182,0.029,-0.023,0.070,0.000,0.000,0.394,0.000,0.000,0.458,0.029,-0.023,0.068,0,0,242,0,242,1.323,0.000,0.000,1.000,1.000
95254,-1.005,0.666,0.256,0.030,-0.035,0.186,0.030,-0.024,0.071,0.000,0.000,0.410,0.000,0.000,0.410,0.029,-0.023,0.070,0,0,242,0,242,1.324,0.000,0.000,1.000,1.000
95265,-1.146,0.632,0.259,0.033,-0.029,0.187,0.030,-0.024,0.073,0.000,0.000,0.410,0.000,0.000,0.410,0.030,-0.024,0.071,0,0,242,0,242,1.325,0.000,0.000,1.000,1.000
95276,-1.057,0.673,0.328,0.032,-0.029,0.188,0.030,-0.024,0.075,0.000,0.000,0.410,0.000,0.000,0.410,0.030,-0.024,0.073,0,0,242,0,242,1.327,0.000,0.000,1.000,1.000
95287,-1.039,0.712,0.314,0.033,-0.029,0.188,0.031,-0.025,0.077,0.000,0.000,0.410,0.000,0.000,0.442,0.030,-0.024,0.075,0,0,242,0,242,1.328,0.000,0.000,1.000,1.000
95298,-1.113,0.598,0.365,0.035,-0.024,0.193,0.031,-0.025,0.079,0.000,0.000,0.426,0.000,0.000,0.426,0.031,-0.025,0.077,0,0,242,0,242,1.329,0.000,0.000,1.000,1.000
95309,-1.078,0.654,0.337,0.038,-0.027,0.189,0.031,-0.025,0.081,0.000,0.000,0.426,0.000,0.000,0.426,0.031,-0.025,0.079,0,0,242,0,242,1.331,0.000,0.000,1.000,1.000
95320,-1.125,0.647,0.334,0.043,-0.024,0.183,0.032,-0.025,0.083,0.000,0.000,0.426,0.000,0.000,0.426,0.031,-0.025,0.081,0,0,242,0,242,1.332,0.000,0.000,1.000,1.000
95331,-1.103,0.671,0.376,0.041,-0.021,0.184,0.032,-0.026,0.085,0.000,0.000,0.442,0.000,0.000,0.442,0.032,-0.025,0.083,0,0,242,0,242,1.333,0.000,0.000,1.000,1.000
95342,-1.145,0.619,0.262,0.041,-0.032,0.182,0.033,-0.026,0.086,0.000,0.000,0.474,0.000,0.000,0.442,0.032,-0.026,0.085,0,0,242,0,242,1.335,0.000,0.000,1.000,1.000
95353,-1.083,0.655,0.262,0.040,-0.029,0.180,0.033,-0.026,0.088,0.000,0.000,0.442,0.000,0.000,0.426,0.033,-0.026,0.086,0,0,242,0,242,1.336,0.000,0.000,1.000,1.000
95364,-1.076,0.681,0.218,0.044,-0.032,0.175,0.034,-0.026,0.090,0.000,0.000,0.442,0.000,0.000,0.426,0.033,-0.026,0.088,0,0,242,0,242,1.337,0.000,0.000,1.000,1.000
95375,-1.119,0.636,0.245,0.044,-0.027,0.180,0.034,-0.027,0.092,0.000,0.000,0.442,0.000,0.000,0.458,0.034,-0.026,0.090,0,0,242,0,242,1.339,0.000,0.000,1.000,1.000
95386,-1.039,0.674,0.220,0.044,-0.027,0.178,0.034,-0.027,0.093,0.000,0.000,0.442,0.000,0.000,0.458,0.034,-0.027,0.092,0,0,242,0,242,1.340,0.000,0.000,1.000,1.000
95397,-1.122,0.629,0.184,0.050,-0.017,0.177,0.035,-0.027,0.095,0.000,0.000,0.474,0.000,0.000,0.458,0.034,-0.027,0.093,0,0,242,0,242,1.341,0.000,0.000,1.000,1.000
95408,-1.128,0.654,0.225,0.047,-0.017,0.178,0.035,-0.027,0.097,0.000,0.000,0.442,0.000,0.000,0.442,0.035,-0.027,0.095,0,0,242,0,242,1.342,0.000,0.000,1.000,1.000
95419,-1.051,0.681,0.263,0.047,-0.024,0.176,0.036,-0.028,0.099,0.000,0.000,0.458,0.000,0.000,0.458,0.035,-0.027,0.097,0,0,242,0,242,1.344,0.000,0.000,1.000,1.000
95430,-1.095,0.644,0.297,0.045,-0.026,0.173,0.036,-0.028,0.101,0.000,0.000,0.442,0.000,0.000,0.426,0.036,-0.028,0.099,0,0,242,0,242,1.345,0.000,0.000,1.000,1.000
95441,-1.108,0.633,0.296,0.049,-0.028,0.170,0.037,-0.028,0.102,0.000,0.000,0.458,0.000,0.000,0.458,0.036,-0.028,0.101,0,0,242,0,242,1.346,0.000,0.000,1.000,1.000
95452,-1.144,0.621,0.292,0.047,-0.024,0.172,0.037,-0.028,0.104,0.000,0.000,0.474,0.000,0.000,0.442,0.037,-0.028,0.102,0,0,242,0,242,1.347,0.000,0.000,1.000,1.000
95463,-1.030,0.655,0.323,0.045,-0.028,0.166,0.038,-0.029,0.106,0.000,0.000,0.458,0.000,0.000,0.474,0.037,-0.028,0.104,0,0,242,0,242,1.348,0.000,0.000,1.000,1.000
95474,-1.132,0.614,0.270,0.050,-0.027,0.166,0.038,-0.029,0.107,0.000,0.000,0.458,0.000,0.000,0.474,0.038,-0.029,0.106,0,0,242,0,242,1.350,0.000,0.000,1.000,1.000
95485,-1.092,0.601,0.282,0.050,-0.023,0.169,0.039,-0.029,0.109,0.000,0.000,0.458,0.000,0.000,0.490,0.038,-0.029,0.107,0,0,242,0,242,1.351,0.000,0.000,1.000,1.000
95496,-1.041,0.668,0.308,0.051,-0.023,0.164,0.039,-0.029,0.111,0.000,0.000,0.474,0.000,0.000,0.458,0.039,-0.029,0.109,0,0,242,0,242,1.352,0.000,0.000,1.000,1.000
95507,-1.139,0.607,0.259,0.054,-0.018,0.167,0.040,-0.030,0.112,0.000,0.000,0.474,0.000,0.000,0.474,0.039,-0.029,0.111,0,0,242,0,242,1.353,0.000,0.000,1.000,1.000
95518,-1.125,0.633,0.279,0.057,-0.020,0.164,0.040,-0.030,0.114,0.000,0.000,0.474,0.000,0.000,0.474,0.040,-0.030,0.112,0,0,242,0,242,1.354,0.000,0.000,1.000,1.000
95529,-1.129,0.611,0.256,0.055,-0.016,0.165,0.041,-0.030,0.116,0.000,0.000,0.506,0.000,0.000,0.474,0.040,-0.030,0.114,0,0,242,0,242,1.355,0.000,0.000,1.000,1.000
95540,-1.058,0.668,0.292,0.054,-0.018,0.162,0.041,-0.030,0.117,0.000,0.000,0.490,0.000,0.000,0.490,0.041,-0.030,0.116,0,0,242,0,242,1.357,0.000,0.000,1.000,1.000
95551,-1.149,0.590,0.233,0.056,-0.018,0.159,0.042,-0.030,0.119,0.000,0.000,0.506,0.000,0.000,0.490,0.041,-0.030,0.117,0,0,242,0,242,1.358,0.000,0.000,1.000,1.000
95562,-1.108,0.625,0.251,0.052,-0.017,0.160,0.043,-0.030,0.120,0.000,0.000,0.490,0.000,0.000,0.490,0.042,-0.030,0.119,0,0,242,0,242,1.359,0.000,0.000,1.000,1.000
95573,-1.072,0.645,0.300,0.054,-0.021,0.155,0.043,-0.031,0.122,0.000,0.000,0.506,0.000,0.000,0.523,0.043,-0.030,0.120,0,0,242,0,242,1.360,0.000,0.000,1.000,1.000
95584,-1.128,0.583,0.215,0.054,-0.016,0.158,0.044,-0.031,0.124,0.000,0.000,0.506,0.000,0.000,0.490,0.043,-0.031,0.122,0,0,242,0,242,1.361,0.000,0.000,1.000,1.000
95595,-1.052,0.612,0.266,0.052,-0.018,0.156,0.044,-0.031,0.125,0.000,0.000,0.474,0.000,0.000,0.490,0.044,-0.031,0.124,0,0,242,0,242,1.362,0.000,0.000,1.000,1.000
95606,-1.109,0.580,0.221,0.056,-0.020,0.153,0.045,-0.031,0.127,0.000,0.000,0.490,0.000,0.000,0.506,0.044,-0.031,0.125,0,0,242,0,242,1.363,0.000,0.000,1.000,1.000
