Time, Accel X [mg],Accel Y [mg],Accel Z [mg],dRoll [deg/s],dPitch [deg/s],dHeading [deg/s],Roll [deg],Pitch [deg],Yaw [deg],Frequency Reader Frequency [Hz], Calibrated Velocity [m/s],Pressure Sensor Depth [m],State Estimator X [m],State Estimator Y [m],State Estimator Z [m],State Estimator Roll [rad],State Estimator Pitch [rad],State Estimator Yaw [rad],Motor A, Motor B, Motor C, Motor D, Motor E,Servo Angle [rad],Waypoint X [m], Waypoint Y [m], Waypoint Z [m], Waiting [bool]
184552,-0.500,0.814,-9.798,-0.011,0.002,-0.017,-0.000,0.000,-0.000,0.003,0.044,0.781,0.001,0.000,0.781,0.000,0.000,0.000,0,0,224,0,224,0.725,0.000,0.000,1.000,0.000
184563,-0.506,0.806,-9.788,-0.009,0.001,-0.018,-0.000,0.000,-0.000,0.003,0.044,0.781,0.002,0.000,0.781,-0.000,0.000,-0.000,0,0,224,0,224,0.725,0.000,0.000,1.000,0.000
184574,-0.528,0.831,-9.623,-0.010,-0.004,-0.016,-0.000,0.000,-0.001,0.003,0.044,0.781,0.003,0.000,0.765,-0.000,0.000,-0.000,0,0,238,0,238,0.725,0.000,0.000,1.000,0.000
184585,-0.337,0.955,-9.237,-0.003,0.010,-0.007,-0.000,0.000,-0.001,0.003,0.044,0.797,0.004,0.000,0.781,-0.000,0.000,-0.001,0,0,224,0,224,0.725,0.000,0.000,1.000,0.000
184596,-0.464,0.909,-9.549,0.011,0.012,0.013,-0.000,0.000,-0.000,0.003,0.044,0.765,0.005,0.000,0.748,-0.000,0.000,-0.001,0,0,242,0,242,0.725,0.000,0.000,1.000,0.000
184607,-0.479,0.770,-9.633,0.006,0.018,0.024,-0.000,0.000,-0.000,0.003,0.044,0.781,0.006,0.000,0.781,-0.000,0.000,-0.000,0,0,224,0,224,0.725,0.000,0.000,1.000,0.000
184618,-0.414,0.859,-9.404,0.003,0.020,0.026,-0.000,0.001,0.000,0.003,0.044,0.765,0.007,0.000,0.781,-0.000,0.000,-0.000,0,0,224,0,224,0.725,0.000,0.000,1.000,0.000
184629,-0.357,0.861,-9.361,0.012,0.045,0.048,0.000,0.001,0.001,0.003,0.044,0.781,0.007,0.000,0.781,-0.000,0.001,0.000,0,0,224,0,224,0.725,0.000,0.000,1.000,0.000
184640,-0.324,0.891,-9.308,0.025,0.045,0.062,0.000,0.001,0.001,0.003,0.044,0.797,0.008,0.000,0.781,0.000,0.001,0.001,0,0,224,0,224,1.892,0.000,0.000,1.000,0.000
184651,-0.581,0.846,-9.578,0.039,0.057,0.075,0.001,0.002,0.002,0.003,0.044,0.765,0.009,0.000,0.781,0.000,0.001,0.001,0,0,224,0,224,1.892,0.000,0.000,1.000,0.000
